ABRAMSON  G,KUPERMAN  M,1
ABRAMSON  G,MORELLI  L,2
KUPERMAN  M,ZANETTE  D,3
KUPERMAN  M,MORELLI  L,4
ACEBRON  J,BONILLA  L,5
ACEBRON  J,PEREZVICENTE  C,6
ACEBRON  J,RITORT  F,7
ACEBRON  J,SPIGLER  R,8
BONILLA  L,PEREZVICENTE  C,9
BONILLA  L,RITORT  F,10
BONILLA  L,SPIGLER  R,11
PEREZVICENTE  C,RITORT  F,12
PEREZVICENTE  C,SPIGLER  R,13
RITORT  F,SPIGLER  R,14
ADAMIC  L,ADAR  E,15
ADAMIC  L,HUBERMAN  B,16
ADAMIC  L,LUKOSE  R,17
ADAMIC  L,PUNIYANI  A,18
HUBERMAN  B,LUKOSE  R,19
HUBERMAN  B,PUNIYANI  A,20
HUBERMAN  B,TYLER  J,21
HUBERMAN  B,WILKINSON  D,22
HUBERMAN  B,WU  F,23
LUKOSE  R,PUNIYANI  A,24
AERTSEN  A,GERSTEIN  G,25
AERTSEN  A,HABIB  M,26
AERTSEN  A,PALM  G,27
AERTSEN  A,MEHRING  C,28
AERTSEN  A,HEHL  U,29
AERTSEN  A,KUBO  M,30
AERTSEN  A,DIESMANN  M,31
GERSTEIN  G,HABIB  M,32
GERSTEIN  G,PALM  G,33
HABIB  M,PALM  G,34
AFRAIMOVICH  V,VERICHEV  N,35
AFRAIMOVICH  V,RABINOVICH  M,36
VERICHEV  N,RABINOVICH  M,37
AHUJA  R,MAGNANTI  T,38
AHUJA  R,ORLIN  J,39
MAGNANTI  T,ORLIN  J,40
AIELLO  W,CHUNG  F,41
AIELLO  W,LU  L,42
CHUNG  F,LU  L,43
CHUNG  F,GALAS  D,44
CHUNG  F,DEWEY  T,45
CHUNG  F,VU  V,46
LU  L,GALAS  D,47
LU  L,DEWEY  T,48
LU  L,VU  V,49
ALBERICH  R,MIROJULIA  J,50
ALBERICH  R,ROSSELLO  F,51
MIROJULIA  J,ROSSELLO  F,52
ALBERT  R,ALBERT  I,53
ALBERT  R,NAKARADO  G,54
ALBERT  R,BARABASI  A,55
ALBERT  R,JEONG  H,56
ALBERT  R,OLTVAI  Z,57
ALBERT  R,BIANCONI  G,58
ALBERT  R,LATORA  V,59
ALBERT  R,CRUCITTI  P,60
ALBERT  R,TOMBOR  B,61
ALBERT  R,KINNEY  R,62
ALBERT  I,NAKARADO  G,63
BARABASI  A,JEONG  H,64
BARABASI  A,ALMAAS  E,65
BARABASI  A,KOVACS  B,66
BARABASI  A,VICSEK  T,67
BARABASI  A,OLTVAI  Z,68
BARABASI  A,BIANCONI  G,69
BARABASI  A,RAVASZ  E,70
BARABASI  A,NEDA  Z,71
BARABASI  A,SCHUBERT  A,72
BARABASI  A,BERLOW  E,73
BARABASI  A,COHEN  R,74
BARABASI  A,BENAVRAHAM  D,75
BARABASI  A,HAVLIN  S,76
BARABASI  A,DEMENEZES  M,77
BARABASI  A,DEZSO  Z,78
BARABASI  A,DOBRIN  R,79
BARABASI  A,BEG  Q,80
BARABASI  A,DUNNE  J,81
BARABASI  A,WILLIAMS  R,82
BARABASI  A,MARTINEZ  N,83
BARABASI  A,FARKAS  I,84
BARABASI  A,DERENYI  I,85
BARABASI  A,MASON  S,86
BARABASI  A,TOMBOR  B,87
BARABASI  A,MACDONALD  P,88
BARABASI  A,PODANI  J,89
BARABASI  A,SZATHMARY  E,90
BARABASI  A,SOMERA  A,91
BARABASI  A,MONGRU  D,92
BARABASI  A,SCHWARTZ  N,93
BARABASI  A,WUCHTY  S,94
BARABASI  A,YOOK  S,95
BARABASI  A,TU  Y,96
JEONG  H,VICSEK  T,97
JEONG  H,OLTVAI  Z,98
JEONG  H,BIANCONI  G,99
JEONG  H,RAVASZ  E,100
JEONG  H,NEDA  Z,101
JEONG  H,SCHUBERT  A,102
JEONG  H,FARKAS  I,103
JEONG  H,DERENYI  I,104
JEONG  H,GOH  K,105
JEONG  H,KAHNG  B,106
JEONG  H,KIM  D,107
JEONG  H,OH  E,108
JEONG  H,HOLME  P,109
JEONG  H,HUSS  M,110
JEONG  H,KIM  B,111
JEONG  H,YOON  C,112
JEONG  H,HAN  S,113
JEONG  H,MASON  S,114
JEONG  H,TOMBOR  B,115
JEONG  H,PARK  Y,116
JEONG  H,RHO  K,117
JEONG  H,PODANI  J,118
JEONG  H,SZATHMARY  E,119
JEONG  H,YOOK  S,120
JEONG  H,TU  Y,121
ALBERTS  B,BRAY  D,122
ALBERTS  B,LEWIS  J,123
ALBERTS  B,RAFF  M,124
ALBERTS  B,ROBERTS  K,125
ALBERTS  B,WATSON  J,126
BRAY  D,LEWIS  J,127
BRAY  D,RAFF  M,128
BRAY  D,ROBERTS  K,129
BRAY  D,WATSON  J,130
LEWIS  J,RAFF  M,131
LEWIS  J,ROBERTS  K,132
LEWIS  J,WATSON  J,133
RAFF  M,ROBERTS  K,134
RAFF  M,WATSON  J,135
ROBERTS  K,WATSON  J,136
ALDOUS  D,PITTEL  B,137
ALEKSIEJUK  A,HOLYST  J,138
ALEKSIEJUK  A,STAUFFER  D,139
HOLYST  J,STAUFFER  D,140
HOLYST  J,FRONCZAK  A,141
HOLYST  J,FRONCZAK  P,142
HOLYST  J,JEDYNAK  M,143
HOLYST  J,SIENKIEWICZ  J,144
STAUFFER  D,NEWMAN  M,145
STAUFFER  D,BERNARDES  A,146
STAUFFER  D,COSTA  U,147
STAUFFER  D,ARAUJO  A,148
STAUFFER  D,KERTESZ  J,149
STAUFFER  D,DAFONTOURACOSTA  L,150
STAUFFER  D,FORTUNATO  S,151
STAUFFER  D,AHARONY  A,152
STAUFFER  D,ADLER  J,153
STAUFFER  D,MEYERORTMANNS  H,154
ALLARIA  E,ARECCHI  F,155
ALLARIA  E,DIGARBO  A,156
ALLARIA  E,MEUCCI  R,157
ARECCHI  F,DIGARBO  A,158
ARECCHI  F,MEUCCI  R,159
ARECCHI  F,BOCCALETTI  S,160
ARECCHI  F,BRAGARD  J,161
ARECCHI  F,MANCINI  H,162
DIGARBO  A,MEUCCI  R,163
ALMAAS  E,KOVACS  B,164
ALMAAS  E,VICSEK  T,165
ALMAAS  E,OLTVAI  Z,166
ALMAAS  E,KRAPIVSKY  P,167
ALMAAS  E,REDNER  S,168
ALMAAS  E,KULKARNI  R,169
ALMAAS  E,STROUD  D,170
ALMAAS  E,MACDONALD  P,171
KOVACS  B,VICSEK  T,172
KOVACS  B,OLTVAI  Z,173
VICSEK  T,OLTVAI  Z,174
VICSEK  T,RAVASZ  E,175
VICSEK  T,NEDA  Z,176
VICSEK  T,SCHUBERT  A,177
VICSEK  T,FARKAS  I,178
VICSEK  T,DERENYI  I,179
VICSEK  T,MARODI  M,180
VICSEK  T,DOVIDIO  F,181
VICSEK  T,BENJACOB  E,182
VICSEK  T,CZIROK  A,183
VICSEK  T,COHEN  I,184
VICSEK  T,SHOCHET  O,185
OLTVAI  Z,RAVASZ  E,186
OLTVAI  Z,NEDA  Z,187
OLTVAI  Z,SCHUBERT  A,188
OLTVAI  Z,DOBRIN  R,189
OLTVAI  Z,BEG  Q,190
OLTVAI  Z,FARKAS  I,191
OLTVAI  Z,DERENYI  I,192
OLTVAI  Z,MASON  S,193
OLTVAI  Z,TOMBOR  B,194
OLTVAI  Z,PODANI  J,195
OLTVAI  Z,SZATHMARY  E,196
OLTVAI  Z,SOMERA  A,197
OLTVAI  Z,MONGRU  D,198
OLTVAI  Z,WUCHTY  S,199
OLTVAI  Z,YOOK  S,200
KRAPIVSKY  P,REDNER  S,201
KRAPIVSKY  P,ANTAL  T,202
KRAPIVSKY  P,BENNAIM  E,203
KRAPIVSKY  P,RODGERS  G,204
KRAPIVSKY  P,KAHNG  B,205
KRAPIVSKY  P,KIM  J,206
KRAPIVSKY  P,LEYVRAZ  F,207
KRAPIVSKY  P,VAZQUEZ  F,208
REDNER  S,BENNAIM  E,209
REDNER  S,RODGERS  G,210
REDNER  S,KAHNG  B,211
REDNER  S,KIM  J,212
REDNER  S,LEYVRAZ  F,213
REDNER  S,VAZQUEZ  F,214
KULKARNI  R,STROUD  D,215
KULKARNI  R,GORMAN  S,216
ALON  N,YUSTER  R,217
ALON  N,ZWICK  U,218
YUSTER  R,ZWICK  U,219
ALON  U,SURETTE  M,220
ALON  U,BARKAI  N,221
ALON  U,LEIBER  S,222
ALON  U,CHKLOVSKII  D,223
ALON  U,ITZKOVITZ  S,224
ALON  U,MILO  R,225
ALON  U,KASHTAN  N,226
ALON  U,ZIV  G,227
ALON  U,MANGAN  S,228
ALON  U,LEVITT  R,229
ALON  U,SHENORR  S,230
ALON  U,AYZENSHTAT  I,231
ALON  U,SHEFFER  M,232
ALON  U,ZASLAVER  A,233
ALON  U,MAYO  A,234
ALON  U,ROSENBERG  R,235
ALON  U,BASHKIN  P,236
ALON  U,SBERRO  H,237
ALON  U,TSALYUK  M,238
SURETTE  M,BARKAI  N,239
SURETTE  M,LEIBER  S,240
SURETTE  M,ZASLAVER  A,241
SURETTE  M,MAYO  A,242
SURETTE  M,ROSENBERG  R,243
SURETTE  M,BASHKIN  P,244
SURETTE  M,SBERRO  H,245
SURETTE  M,TSALYUK  M,246
BARKAI  N,LEIBER  S,247
BARKAI  N,IHMELS  J,248
BARKAI  N,FRIEDLANDER  G,249
BARKAI  N,BERGMANN  S,250
BARKAI  N,OFERSARIG  Y,251
ALTER  O,BROWN  P,252
ALTER  O,BOTSTEIN  D,253
BROWN  P,BOTSTEIN  D,254
AMARAL  L,SCALA  A,255
AMARAL  L,BARTHELEMY  M,256
AMARAL  L,STANLEY  H,257
AMARAL  L,GUIMERA  R,258
